model,params_b,family,load,k,direct,cot,cib,direct_t1,cot_t1,t1_gain_cot,n
mistral-nemo:12b,12.0,Mistral,semantic_4,5,0.98,0.98,0.0,0.455,0.48,0.024999999999999967,100
mistral-nemo:12b,12.0,Mistral,(none),1,1.0,1.0,0.0,,,,100
mistral:7b,7.0,Mistral,trivial,5,1.0,0.96,0.040000000000000036,0.9925,0.8525,-0.14,100
mistral:7b,7.0,Mistral,semantic_1,5,0.97,0.63,0.33999999999999997,0.5975,0.7325,0.135,100
mistral:7b,7.0,Mistral,semantic_2,5,0.97,0.65,0.31999999999999995,0.5475,0.5525,0.0050000000000000044,100
mistral:7b,7.0,Mistral,semantic_3,5,0.99,0.66,0.32999999999999996,0.595,0.4725,-0.1225,100
mistral:7b,7.0,Mistral,semantic_4,5,0.94,0.62,0.31999999999999995,0.4825,0.45,-0.03249999999999997,100
mistral:7b,7.0,Mistral,(none),1,1.0,1.0,0.0,,,,100
qwen2.5:0.5b,0.5,Qwen2.5,trivial,5,0.44,0.06,0.38,0.4075,0.205,-0.20249999999999999,100
qwen2.5:0.5b,0.5,Qwen2.5,semantic_1,5,0.46938775510204084,0.03,0.43938775510204087,0.37755102040816324,0.11,-0.26755102040816325,98
qwen2.5:0.5b,0.5,Qwen2.5,semantic_2,5,0.29292929292929293,0.04,0.25292929292929295,0.32575757575757575,0.085,-0.24075757575757573,99
qwen2.5:0.5b,0.5,Qwen2.5,semantic_3,5,0.2268041237113402,0.01,0.2168041237113402,0.28350515463917525,0.11,-0.17350515463917526,97
qwen2.5:0.5b,0.5,Qwen2.5,semantic_4,5,0.29,0.02040816326530612,0.26959183673469383,0.21,0.10459183673469388,-0.10540816326530611,98
qwen2.5:0.5b,0.5,Qwen2.5,(none),1,0.21505376344086022,0.66,-0.4449462365591398,,,,93
qwen2.5:1.5b,1.5,Qwen2.5,trivial,5,0.48,0.8080808080808081,-0.3280808080808081,0.88,0.7752525252525253,-0.1047474747474747,99
qwen2.5:1.5b,1.5,Qwen2.5,semantic_1,5,0.67,0.6262626262626263,0.04373737373737374,0.4525,0.41414141414141414,-0.03835858585858587,99
qwen2.5:1.5b,1.5,Qwen2.5,semantic_2,5,0.66,0.6632653061224489,-0.0032653061224489077,0.4725,0.45663265306122447,-0.015867346938775506,98
qwen2.5:1.5b,1.5,Qwen2.5,semantic_3,5,0.64,0.5102040816326531,0.12979591836734694,0.35,0.3826530612244898,0.0326530612244898,98
qwen2.5:1.5b,1.5,Qwen2.5,semantic_4,5,0.56,0.5274725274725275,0.03252747252747257,0.445,0.38186813186813184,-0.06313186813186816,91
qwen2.5:1.5b,1.5,Qwen2.5,(none),1,0.9292929292929293,0.8383838383838383,0.09090909090909094,,,,99
qwen2.5:3b,3.0,Qwen2.5,trivial,5,0.97,0.93,0.039999999999999925,0.975,0.87,-0.10499999999999998,100
qwen2.5:3b,3.0,Qwen2.5,semantic_1,5,0.97,0.7777777777777778,0.19222222222222218,0.5675,0.6818181818181818,0.11431818181818176,99
qwen2.5:3b,3.0,Qwen2.5,semantic_2,5,0.99,0.67,0.31999999999999995,0.5075,0.56,0.0525000000000001,100
qwen2.5:3b,3.0,Qwen2.5,semantic_3,5,0.96,0.6979166666666666,0.26208333333333333,0.485,0.5703125,0.08531250000000001,96
qwen2.5:3b,3.0,Qwen2.5,semantic_4,5,0.92,0.6836734693877551,0.23632653061224496,0.4525,0.42346938775510207,-0.029030612244897946,98
qwen2.5:3b,3.0,Qwen2.5,(none),1,0.98,0.9595959595959596,0.020404040404040424,,,,99
qwen2.5:7b,7.0,Qwen2.5,trivial,5,1.0,0.98,0.020000000000000018,1.0,0.89,-0.10999999999999999,100
qwen2.5:7b,7.0,Qwen2.5,semantic_1,5,1.0,0.88,0.12,0.7125,0.91,0.1975,100
qwen2.5:7b,7.0,Qwen2.5,semantic_2,5,1.0,0.92,0.07999999999999996,0.7,0.7025,0.0025000000000000577,100
qwen2.5:7b,7.0,Qwen2.5,semantic_3,5,0.99,0.86,0.13,0.665,0.705,0.039999999999999925,100
qwen2.5:7b,7.0,Qwen2.5,semantic_4,5,1.0,0.82,0.18000000000000005,0.4975,0.585,0.08749999999999997,100
qwen2.5:7b,7.0,Qwen2.5,(none),1,1.0,1.0,0.0,,,,100
